index,home_team,away_team,id,market,competition_name,prediction,competition_cluster,status,federation,is_expired,season,result,start_date,last_update_at,odds
17,Szombathelyi Haladas,Diosgyori,40175,classic,NB I,1X,Hungary,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 1.982, 'X': 3.348, '2': 3.542, '1X': 1.268, 'X2': 1.742, '12': 1.272}"
18,Apollon Smyrni,Atromitos Athens,40168,classic,Super League,2,Greece,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 5.543, 'X': 3.197, '2': 1.727, '1X': 2.016, 'X2': 1.133, '12': 1.303}"
19,SPAL,Empoli,40111,classic,Serie A,12,Italy,lost,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.406, 'X': 3.247, '2': 3.017, '1X': 1.374, 'X2': 1.556, '12': 1.311}"
20,Cremonese,Crotone,40116,classic,Serie B,1X,Italy,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.397, 'X': 2.953, '2': 3.07, '1X': 1.341, 'X2': 1.523, '12': 1.336}"
21,NK Osijek,HNK Rijeka,40160,classic,Prva HNL,1X,Croatia,lost,UEFA,TRUE,2018 - 2019,01-Feb,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.471, 'X': 3.146, '2': 2.743, '1X': 1.415, 'X2': 1.468, '12': 1.308}"
22,Chrobry Glogow,Wigry Suwalki,40201,classic,First League,1X,Poland,lost,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.181, 'X': 3.151, '2': 3.153, '1X': 1.316, 'X2': 1.609, '12': 1.3}"
23,Istanbul Basaksehir,Sivasspor,40253,classic,Super Lig,1,Turkey,lost,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 1.509, 'X': 4.044, '2': 6.423, '1X': 1.104, 'X2': 2.461, '12': 1.199}"
24,SP Tre Penne,SS Virtus,40596,classic,Campionato Sammarinese,1,San Marino,won,UEFA,TRUE,2018 - 2019,04-Jan,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 1.125, 'X': 7.5, '2': 11.5, '1X': None, 'X2': None, '12': None}"
25,Leicester,Watford,40058,classic,Premier League,1X,England,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.223, 'X': 3.287, '2': 3.43, '1X': 1.309, 'X2': 1.659, '12': 1.317}"
26,Birmingham,Preston,40063,classic,Championship,1X,England,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.347, 'X': 3.201, '2': 3.12, '1X': 1.346, 'X2': 1.569, '12': 1.316}"
